,trip_id,time,rel_dist,route_id,direction_id,shape_id,geometry
0,A20171105WKD_000100_2..S08R,01:00:00,0.636516894342366,2,1.0,2..S08R,POINT (-74.00099693501713 40.73672468480159)
1,A20171105WKD_000550_4..S01R,01:00:00,0.7473029390422467,4,1.0,4..S01R,POINT (-73.97345325915246 40.67855834839557)
2,A20171105WKD_000650_1..S03R,01:00:00,0.9506691145086199,1,1.0,1..S03R,POINT (-74.01209713516039 40.71214302693863)
3,A20171105WKD_000700_6..S01R,01:00:00,0.9236871443259465,6,1.0,6..S01R,POINT (-73.99298125969129 40.72805904841712)
4,A20171105WKD_001500_4..S13R,01:00:00,0.5182687014547598,4,1.0,4..S13R,POINT (-73.99134974965692 40.72987514087516)
5,A20171105WKD_002100_2..S08R,01:00:00,0.42982619735768834,2,1.0,2..S08R,POINT (-73.9571461800105 40.79746798628413)
6,A20171105WKD_002100_2..S08R,02:00:00,0.9442533258610599,2,1.0,2..S08R,POINT (-73.95007353553819 40.65547658870623)
7,A20171105WKD_002200_6..S01R,01:00:00,0.6756065916381304,6,1.0,6..S01R,POINT (-73.95751397839574 40.77685408328126)
8,A20171105WKD_002550_1..S03R,01:00:00,0.6664897102514474,1,1.0,1..S03R,POINT (-73.98172889797235 40.76772015197471)
9,A20171105WKD_002550_7..S97R,01:00:00,0.973625307775401,7,1.0,7..S97R,POINT (-73.99861140544961 40.75945245757438)
10,A20171105WKD_003500_4..S13R,01:00:00,0.29340354122382545,4,1.0,4..S13R,POINT (-73.94207454197388 40.79800185644371)
11,A20171105WKD_003500_4..S13R,02:00:00,0.8718316484312192,4,1.0,4..S13R,POINT (-73.92922424774294 40.6686961512011)
12,A20171105WKD_003950_6..S01R,01:00:00,0.3488574185399095,6,1.0,6..S01R,POINT (-73.8994412767273 40.81345949236363)
13,A20171105WKD_004000_7..S97R,01:00:00,0.5967840584946401,7,1.0,7..S97R,POINT (-73.93822458568053 40.74958454358018)
14,A20171105WKD_004100_2..S08R,01:00:00,0.21158357880366946,2,1.0,2..S08R,POINT (-73.88921477048071 40.8349131136728)
15,A20171105WKD_004100_2..S08R,02:00:00,0.8089592256094379,2,1.0,2..S08R,POINT (-73.98325016366682 40.68981832879788)
16,A20171105WKD_004250_3..S42R,01:00:00,0.6680260414909505,3,1.0,3..S42R,POINT (-73.97866472157783 40.78560610462475)
17,A20171105WKD_004550_1..S03R,01:00:00,0.3022035712501483,1,1.0,1..S03R,POINT (-73.94218403271471 40.83774698630727)
18,A20171105WKD_004700_3..N42R,01:00:00,0.741117682607579,3,0.0,3..N42R,POINT (-73.94832617338605 40.80387673204079)
19,A20171105WKD_005500_4..S13R,01:00:00,0.05847234262410966,4,1.0,4..S13R,POINT (-73.89431594869798 40.87078658385823)
20,A20171105WKD_005500_4..S13R,02:00:00,0.7473029390422467,4,1.0,4..S13R,POINT (-73.97345325915246 40.67855834839557)
21,A20171105WKD_005950_6..S01R,01:00:00,0.006318175915618573,6,1.0,6..S01R,POINT (-73.82951833024192 40.85175979353636)
22,A20171105WKD_005950_6..S01R,02:00:00,0.9657160986270434,6,1.0,6..S01R,POINT (-73.99927613575919 40.71980642135445)
23,A20171105WKD_006000_7..S97R,01:00:00,0.0,7,1.0,7..S97R,POINT (-73.83003000000001 40.7596)
24,A20171105WKD_006100_2..S08R,02:00:00,0.636516894342366,2,1.0,2..S08R,POINT (-74.00099693501713 40.73672468480159)
25,A20171105WKD_006550_1..S03R,02:00:00,0.9648319092245735,1,1.0,1..S03R,POINT (-74.01309989670433 40.70909422992563)
26,A20171105WKD_007450_1..N03R,02:00:00,0.8005232627488515,1,0.0,1..N03R,POINT (-73.92841426573051 40.85659083540607)
27,A20171105WKD_007500_4..S13R,02:00:00,0.5182687014547598,4,1.0,4..S13R,POINT (-73.99134974965692 40.72987514087516)
28,A20171105WKD_007800_6..N01R,02:00:00,0.6848139356037062,6,0.0,6..N01R,POINT (-73.89333078669645 40.81911189954258)
29,A20171105WKD_007950_6..S01R,02:00:00,0.7143289341802388,6,1.0,6..S01R,POINT (-73.96317761066278 40.7690903496443)
